label|text
1|Dear valued customer, your credit card statement shows a suspicious charge. Click here to dispute it now. Best regards, the team.
0|Your order #48213 has been delivered. We hope you enjoy your purchase, let us know if there are any issues. Please respond as soon as possible.
0|Hi, I've shared the project folder with you on the drive. You should have edit access now.
1|We could not verify your billing information. Update it now or your service will be cancelled today. Please respond as soon as possible.
1|You've been selected for a free iPhone 16. Confirm your shipping address and pay only the delivery fee. Best regards, the team.
1|Attention: Your bank account will be frozen unless you confirm your identity here within 12 hours. Let me know if you have any questions.
1|Your PayPal account has been limited. Please log in immediately using this link to restore full access: http://paypal-secure-verify.net
1|Last chance: Renew your domain registration today or lose it permanently. Click here to pay now. Thank you for your attention to this matter.
1|Final notice: Your Netflix subscription payment failed. Update your billing details immediately to avoid suspension. Have a great day.
0|Thank you for subscribing to our newsletter. You can update your preferences anytime from your settings page. Best regards, the team.
0|Our office will be closed on Monday for the public holiday. Normal hours resume Tuesday. Let me know if you have any questions.
0|Hi, attaching the signed contract as discussed. Please review and let me know if everything looks good. Please respond as soon as possible.
1|Your Amazon order could not be processed. Update your payment information immediately by clicking this link. Have a great day.
1|Attention: Your bank account will be frozen unless you confirm your identity here within 12 hours. Have a great day.
1|Your crypto wallet has a pending withdrawal of 2.5 BTC. Verify your identity now to authorize the transfer. Have a great day.
0|Hey, are we still on for lunch on Friday? Let me know what time works best for you. Please respond as soon as possible.
1|URGENT: Your account has been suspended. Click here immediately to verify your identity: http://secure-login-update.com/verify Let me know if you have any questions.
1|Your package could not be delivered. Pay a small customs fee here to release your shipment immediately. Please respond as soon as possible.
0|Your annual performance review is scheduled for next Wednesday at 2 PM with your manager. Please respond as soon as possible.
1|Warning: Your mailbox storage is full. Click here and sign in immediately to avoid losing your emails. Thank you for your attention to this matter.
1|Dear valued customer, your credit card statement shows a suspicious charge. Click here to dispute it now. Please respond as soon as possible.
0|The invoice for last month's services is attached for your records, no action needed unless you have questions. Thank you for your attention to this matter.
0|Hi team, just a reminder that our weekly sync is moved to 3 PM tomorrow. Let me know if that works for everyone.
0|Here's the recipe you asked about, let me know how it turns out when you try it this weekend. Have a great day.
0|Hi, attaching the signed contract as discussed. Please review and let me know if everything looks good. Have a great day.
1|Congratulations! You have won a $1000 gift card. Click this link now to claim your prize before it expires. Please respond as soon as possible.
0|Your monthly newsletter is here! Check out this month's top articles and community highlights. Let me know if you have any questions.
0|Welcome to the team! Here is your onboarding schedule for the first week, let us know if you need anything.
1|hey there im navas , im stuck in Soviet Russia and i need 1000 dollars to go to seeck help by my origine country navas_la_legend was here.
1|Dear customer, we detected unusual activity on your account. Confirm your password now or your account will be locked within 24 hours.
1|Security Alert: Someone tried to access your email account. Confirm your credentials here to secure your account.
0|Just a heads up, the server maintenance window is this Saturday from 1 AM to 3 AM, expect brief downtime. Let me know if you have any questions.
0|This is a reminder that your gym membership renews automatically next week, no action is needed. Best regards, the team.
1|This is Microsoft Security. We detected a virus on your PC. Call this number immediately or click here to fix it. Thank you for your attention to this matter.
0|Your library book is due back in 3 days, you can renew it online if you need more time. Please respond as soon as possible.
